"","subsidary","shopid","yyyymm","n_customer","n_item","n_trx","quantile_Amt"
"200","A",9,"201408",193,191,1994,"7000-18200-63720-178663"
"201","A",9,"201409",189,188,1829,"9000-24800-90250-242130"
"202","A",9,"201410",184,189,2223,"10000-28000-99375-275236"
"203","A",9,"201411",215,195,2419,"10000-30000-110000-342626"
"204","A",9,"201412",205,194,2281,"9800-27500-99000-322200"
"205","A",9,"201501",182,198,2035,"8900-20000-83800-299106"
"206","A",9,"201502",190,197,1829,"9000-27000-108000-326960"
"207","A",9,"201503",187,182,2042,"9025-20600-99675-326800"
"208","A",9,"201504",183,193,2163,"9700-23500-89150-252638"
"209","A",9,"201505",193,199,2670,"9800-28575-94050-237500"
"210","A",9,"201506",181,189,2244,"9980-26600-80000-201115"
"211","A",9,"201507",197,196,2448,"9515-24000-76478-228600"
"212","A",9,"201508",209,185,2299,"9000-22000-75000-210800"
"213","A",9,"201509",192,209,1809,"9000-25000-95000-250914"
"214","A",9,"201510",217,209,2196,"10000-29650-112000-358000"
"215","A",9,"201511",184,222,2122,"10000-29000-116000-319440"
"216","A",9,"201512",210,205,2209,"9980-27000-96600-314488"
"217","A",10,"201401",44,126,632,"5500-13000-48135-168910"
"218","A",10,"201402",42,121,641,"5350-10680-37050-115900"
"219","A",10,"201403",41,115,619,"5450-12850-59000-193500"
"220","A",10,"201404",41,138,666,"6152-16290-65412-198690"
"221","A",10,"201405",52,127,659,"6900-16480-59200-166060"
"222","A",10,"201406",44,124,703,"7000-14860-59450-177930"
"223","A",10,"201407",50,121,761,"5980-15000-63000-170050"
"224","A",10,"201408",50,124,760,"6000-12000-41050-132050"
"225","A",10,"201409",45,119,598,"6450-14530-60600-205600"
"226","A",10,"201410",49,117,688,"5815-15000-60000-193535"
"227","A",10,"201411",50,124,801,"4800-10320-47300-176980"
"228","A",10,"201412",50,127,769,"6120-15000-52250-243580"
"229","A",10,"201501",52,129,686,"5152-13450-45950-190150"
"230","A",10,"201502",50,122,534,"6020-17230-66308-230568"
"231","A",10,"201503",46,121,625,"6400-20000-66500-204440"
"232","A",10,"201504",49,116,587,"6400-15000-50000-192012"
"233","A",10,"201505",47,114,581,"6800-15120-47000-109200"
"234","A",10,"201506",42,117,447,"5970-15000-45800-136140"
"235","A",10,"201507",39,107,448,"7200-20750-54790-125900"
"236","A",10,"201508",43,113,441,"7700-17500-59000-153000"
"237","A",10,"201509",44,106,435,"5540-19900-69500-200188"
"238","A",10,"201510",46,111,426,"7000-20000-71945-187750"
"239","A",10,"201511",42,122,553,"7500-18500-59000-245176"
"240","A",10,"201512",50,120,556,"7960-20000-58625-198300"
"241","A",11,"201401",10,38,72,"8818-33000-89475-242692"
"242","A",11,"201402",13,26,42,"6000-15000-43672-87900"
"243","A",11,"201403",8,16,31,"19000-84220-228550-816300"
"244","A",11,"201404",8,32,65,"10340-32000-115200-213512"
"245","A",11,"201405",13,42,91,"9470-35000-117750-199500"
"246","A",11,"201406",8,29,55,"9500-30100-83720-465300"
"247","A",11,"201407",9,39,77,"9700-29160-89100-208838"
"248","A",11,"201408",10,40,88,"10000-26025-93178-205770"
"249","A",11,"201409",12,32,64,"10375-26940-65505-167400"
"250","A",11,"201410",7,37,82,"11670-25405-84175-240000"
"251","A",11,"201411",9,37,74,"10000-24250-64188-240390"
"252","A",11,"201412",11,30,78,"9925-23500-66150-146630"
"253","A",11,"201501",9,33,83,"7950-15000-54760-206820"
"254","A",11,"201502",11,23,45,"7500-14000-31000-53100"
"255","A",11,"201503",9,34,63,"10940-30500-160200-412208"
"256","A",11,"201504",7,27,47,"9055-15000-28350-78340"
"257","A",11,"201505",11,43,88,"10000-28250-105840-217818"
"258","A",11,"201506",5,26,48,"5375-13970-68698-256292"
"259","A",11,"201507",8,31,64,"10000-22600-116055-221085"
"260","A",11,"201508",11,32,50,"16400-36325-109750-213050"
"261","A",11,"201509",9,32,54,"9850-21000-43800-119880"
"262","A",11,"201510",9,38,65,"9000-23200-94500-337080"
"263","A",11,"201511",11,32,57,"9000-20000-110000-362828"
"264","A",11,"201512",8,11,13,"20980-170100-340100-8136380"
"265","A",12,"201401",583,224,12606,"5600-11200-35000-124800"
"266","A",12,"201402",569,207,11380,"5408-10800-31648-120127"
"267","A",12,"201403",584,204,13735,"5760-11000-32350-119700"
"268","A",12,"201404",596,215,14590,"6000-12000-37050-119610"
"269","A",12,"201405",590,211,14740,"6000-13000-40000-139410"
"270","A",12,"201406",583,207,14537,"5500-11000-34200-111796"
"271","A",12,"201407",593,204,14882,"5480-10740-31500-98000"
"272","A",12,"201408",590,222,14079,"5040-10000-30000-94460"
"273","A",12,"201409",586,221,12983,"5200-10800-33250-119960"
"274","A",12,"201410",600,207,14766,"5450-10500-34000-118840"
"275","A",12,"201411",615,213,14579,"5500-11000-36440-135000"
"276","A",12,"201412",632,214,14494,"5800-11400-33000-119570"
"277","A",12,"201501",614,215,13943,"5200-10000-27600-99000"
"278","A",12,"201502",591,227,11885,"5650-11800-36500-136800"
"279","A",12,"201503",620,211,14770,"5760-11000-32000-118000"
"280","A",12,"201504",597,212,15114,"5850-11370-32858-113340"
"281","A",12,"201505",615,217,15161,"5950-12330-39000-122550"
"282","A",12,"201506",566,211,14365,"5150-10000-29900-98464"
"283","A",12,"201507",594,203,14553,"5300-10400-30000-98800"
"284","A",12,"201508",587,206,12439,"5000-10000-29775-98000"
"285","A",12,"201509",565,226,10411,"5000-10500-37075-128000"
"286","A",12,"201510",593,237,13229,"5400-11380-39000-136800"
"287","A",12,"201511",605,234,12361,"5950-12010-41650-161200"
"288","A",12,"201512",587,236,12953,"5900-11400-34160-125978"
"289","A",13,"201401",5,22,27,"5325-16000-54250-128712"
"290","A",13,"201402",3,11,14,"11125-32000-51312-111840"
"291","A",13,"201403",3,11,20,"31500-71475-117088-335074"
"292","A",13,"201404",3,16,17,"4500-11000-19300-96736"
"293","A",13,"201405",2,9,11,"10000-30000-48000-55120"
"294","A",13,"201406",2,13,14,"22112-61945-152685-627065"
"295","A",13,"201407",3,28,48,"8425-29200-96618-219515"
"296","A",13,"201408",2,14,20,"9662-34000-154000-197220"
"297","A",13,"201409",1,4,4,"3750-8000-18000-28800"
"298","A",13,"201410",2,29,42,"10250-20900-109962-293645"
"299","A",13,"201411",3,14,16,"6325-13000-23262-35000"
"300","A",13,"201412",3,13,16,"29600-61760-139412-231325"
"301","A",13,"201501",2,5,5,"4500-7000-15000-21000"
"302","A",13,"201502",2,11,12,"9588-19400-36250-63895"
"303","A",13,"201503",2,12,19,"5850-10500-14000-20000"
"304","A",13,"201504",1,1,1,"35000-35000-35000-35000"
"305","A",13,"201505",3,15,18,"4260-6500-13750-33715"
"306","A",13,"201506",3,14,16,"9540-20300-56975-122900"
"307","A",13,"201507",5,22,29,"4500-8120-43700-147520"
"308","A",13,"201508",4,9,12,"6325-12000-40650-60000"
"309","A",13,"201509",3,12,16,"7750-17950-67375-139840"
"310","A",13,"201510",4,21,31,"5250-10000-27250-39000"
"311","A",13,"201511",4,7,7,"5600-15000-30950-41520"
"312","A",13,"201512",3,13,15,"6450-10000-23650-83520"
"313","A",14,"201401",7,33,67,"10000-41400-102550-186300"
"314","A",14,"201402",5,29,40,"10000-26050-71250-216000"
"315","A",14,"201403",6,28,45,"16000-48600-98100-220140"
"316","A",14,"201404",3,22,42,"10000-26550-74925-131814"
"317","A",14,"201405",7,31,56,"11682-30600-145350-219240"
"318","A",14,"201406",3,15,23,"13900-36540-96350-268560"
"319","A",14,"201407",4,20,35,"11700-28800-55800-102600"
"320","A",14,"201408",10,36,52,"8888-22000-56240-91746"
"321","A",14,"201409",6,28,45,"6000-27000-52480-83004"
"322","A",14,"201410",8,31,42,"6350-12300-49275-71100"
"323","A",14,"201411",7,30,40,"5000-25000-101800-212544"
"324","A",14,"201412",7,32,59,"6920-26820-93050-165642"
"325","A",14,"201501",4,27,65,"5500-18000-58500-125100"
"326","A",14,"201502",8,29,51,"9250-18240-65100-126400"
"327","A",14,"201503",7,29,38,"4850-10750-31050-50820"
"328","A",14,"201504",7,17,24,"5825-9200-32475-57691"
"329","A",14,"201505",3,6,8,"20238-27750-85000-139000"
"330","A",14,"201506",3,8,8,"4000-9500-22375-47665"
"331","A",14,"201507",7,13,15,"12750-21800-71725-213040"
"332","A",14,"201508",3,5,7,"12500-40100-2243750-2502240"
"333","A",14,"201509",4,10,10,"6648-18350-43250-335480"
"334","A",14,"201510",4,4,6,"15225-22200-33375-87000"
"335","A",14,"201511",5,10,10,"6350-23550-55575-83990"
"336","A",14,"201512",6,23,36,"6375-17500-82812-277140"
"337","A",15,"201401",8,51,105,"15000-30000-103070-266860"
"338","A",15,"201402",6,48,95,"10000-27850-65550-374600"
"339","A",15,"201403",5,36,65,"10800-27640-40500-234042"
"340","A",15,"201404",7,40,74,"18000-37025-243912-606590"
"341","A",15,"201405",10,61,164,"10700-28425-91675-473000"
"342","A",15,"201406",4,46,117,"27160-44000-122550-294900"
"343","A",15,"201407",10,37,82,"18325-30740-176972-448048"
"344","A",15,"201408",4,30,72,"16875-29355-108350-439641"
"345","A",15,"201409",9,27,52,"27942-32830-154090-563265"
"346","A",15,"201410",4,14,34,"10000-27725-34005-185975"
"347","A",15,"201411",6,18,24,"33575-99550-243125-520000"
"348","A",15,"201412",8,26,40,"15638-48855-174200-385940"
"349","A",15,"201501",9,31,52,"9900-15000-49250-166680"
"350","A",15,"201502",6,24,39,"5415-17000-55550-119586"
"351","A",15,"201503",5,23,50,"8750-14000-130150-583300"
"352","A",15,"201504",6,23,33,"12000-18000-79000-480208"
"353","A",15,"201505",9,38,62,"5625-17810-83738-360720"
"354","A",15,"201506",5,21,35,"20000-74690-224910-363916"
"355","A",15,"201507",7,28,46,"8612-15800-88588-377625"
"356","A",15,"201508",6,38,71,"10700-29000-127850-312480"
"357","A",15,"201509",8,52,90,"14800-28500-121375-432866"
"358","A",15,"201510",4,43,108,"14538-70120-315278-978500"
"359","A",15,"201511",6,32,58,"29230-88675-302362-574226"
"360","A",15,"201512",8,33,50,"8148-35100-93322-305539"
"361","A",16,"201401",11,58,105,"7350-11700-35000-125640"
"362","A",16,"201402",8,60,131,"5000-10000-43000-135000"
"363","A",16,"201403",10,53,126,"8025-21000-60875-136860"
"364","A",16,"201404",7,51,98,"5000-16500-49000-156870"
"365","A",16,"201405",8,72,131,"6000-14800-55125-140000"
"366","A",16,"201406",8,53,109,"6300-21000-81000-242390"
"367","A",16,"201407",5,52,105,"7000-14200-49000-99120"
"368","A",16,"201408",5,43,90,"7050-24300-68625-166590"
"369","A",16,"201409",7,61,130,"6030-15800-67250-150200"
"370","A",16,"201410",7,46,87,"8000-13800-78500-170320"
"371","A",16,"201411",6,47,99,"6500-14000-48000-140460"
"372","A",16,"201412",9,42,88,"6675-20000-71438-140538"
"373","A",16,"201501",8,37,87,"5050-10000-29725-163780"
"374","A",16,"201502",7,47,80,"8725-23000-57288-119730"
"375","A",16,"201503",8,46,93,"9000-20000-68000-245380"
"376","A",16,"201504",6,39,100,"6500-13850-37250-76200"
"377","A",16,"201505",7,53,122,"5000-15000-42750-128750"
"378","A",16,"201506",6,42,104,"6440-12675-28000-73492"
"379","A",16,"201507",9,34,61,"6200-20000-42800-241680"
"380","A",16,"201508",10,42,102,"5850-15000-33725-115440"
"381","A",16,"201509",9,35,67,"12300-26100-67400-153100"
"382","A",16,"201510",7,31,62,"6675-11800-34350-141835"
"383","A",16,"201511",8,34,52,"7725-23800-124372-223983"
"384","A",16,"201512",7,46,94,"5000-14700-35500-103045"
"385","A",17,"201401",21,76,278,"5000-10000-29550-173660"
"386","A",17,"201402",19,70,266,"4000-9925-19262-59000"
"387","A",17,"201403",25,77,336,"4500-10000-19625-60775"
"388","A",17,"201404",20,79,285,"4800-10000-22000-68960"
"389","A",17,"201405",19,75,268,"5000-9540-19025-82921"
"390","A",17,"201406",23,78,264,"4795-10000-25030-77900"
"391","A",17,"201407",22,78,292,"4800-10000-15125-48674"
"392","A",17,"201408",31,82,332,"4300-9050-18188-59950"
"393","A",17,"201409",26,72,281,"4500-10000-20000-69000"
"394","A",17,"201410",25,80,325,"4500-10000-20000-50164"
"395","A",17,"201411",22,68,275,"3800-8100-20000-78960"
"396","A",17,"201412",22,68,286,"3525-7380-19112-63240"
"397","A",17,"201501",25,79,309,"3800-8600-27000-109000"
"398","A",17,"201502",23,70,260,"3500-7500-15000-54500"
"399","A",17,"201503",22,76,316,"3000-6500-15000-69650"
"400","A",17,"201504",25,74,321,"3160-6500-13500-54000"
"401","A",17,"201505",23,70,381,"2970-6500-13000-50000"
"402","A",17,"201506",21,71,319,"3345-7600-19050-86000"
"403","A",17,"201507",21,76,361,"3200-8640-24300-85000"
"404","A",17,"201508",22,67,318,"3900-7700-12910-39590"
"405","A",17,"201509",25,71,263,"4500-9000-19800-84796"
"406","A",17,"201510",24,70,265,"3500-9900-25800-116060"
"407","A",17,"201511",24,69,232,"3200-7650-24850-69480"
"408","A",17,"201512",21,67,260,"3800-7900-20625-50000"
"409","A",18,"201401",9,39,68,"5298-10350-31275-91371"
"410","A",18,"201402",6,29,62,"8000-13220-34750-86190"
"411","A",18,"201403",11,35,112,"7762-10000-19625-36915"
"412","A",18,"201404",9,40,93,"5820-10000-20300-52724"
"413","A",18,"201405",9,39,94,"5058-12500-32150-65759"
"414","A",18,"201406",7,38,89,"4780-9100-20000-45904"
"415","A",18,"201407",12,33,81,"5100-10000-22000-87570"
"416","A",18,"201408",9,42,112,"4825-9735-25025-53355"
"417","A",18,"201409",7,47,114,"6000-14665-26700-66500"
"418","A",18,"201410",5,29,88,"7255-19950-64350-138407"
"419","A",18,"201411",7,40,119,"5670-10280-33250-79200"
"420","A",18,"201412",8,35,79,"5910-15000-29500-63034"
"421","A",18,"201501",3,28,58,"5135-10000-25575-62465"
"422","A",18,"201502",9,30,51,"8515-17000-56050-97600"
"423","A",18,"201503",5,22,70,"9500-18000-41400-92340"
"424","A",18,"201504",10,33,59,"10000-19000-44700-72520"
"425","A",18,"201505",15,32,66,"9020-18040-45450-91500"
"426","A",18,"201506",8,26,53,"9020-20900-52200-107130"
"427","A",18,"201507",8,28,53,"10000-25500-56000-85680"
"428","A",18,"201508",7,20,39,"4800-10370-16615-58100"
"429","A",18,"201509",9,27,55,"8070-12800-29025-50940"
"430","A",18,"201510",12,41,110,"8610-17570-46800-90900"
"431","A",18,"201511",8,36,78,"9140-18040-47442-74470"
"432","A",18,"201512",7,37,88,"5100-11390-21725-38415"
"433","A",19,"201401",1,1,1,"59000-59000-59000-59000"
"434","A",19,"201405",1,1,1,"89500-89500-89500-89500"
"435","A",19,"201406",1,2,2,"78000-83000-88000-91000"
"436","A",19,"201407",1,2,2,"6925-7950-8975-9590"
"437","A",19,"201408",1,1,1,"39500-39500-39500-39500"
"438","A",19,"201409",1,3,3,"20500-29000-29000-29000"
"439","A",19,"201501",1,1,2,"136500-138700-140900-142220"
"440","A",19,"201502",1,1,2,"12725-14150-15575-16430"
"441","A",19,"201503",1,5,10,"24750-109000-244650-783900"
"442","A",19,"201504",1,5,5,"53000-109000-151800-249120"
"443","A",19,"201505",2,3,3,"67750-79000-84000-87000"
