"","customerid","sex","age","post","trx1M","amt1M","mean1M","item1M","trx3M","amt3M","mean3M","item3M","trx6M","amt6M","mean6M","item6M","churn"
"62",4045,"F","45技~49技","060",NA,NA,NA,NA,NA,NA,NA,NA,2,130402,65201,12,"0"
"63",1745,"F","55技~59技","049",6,279383,46564,24,11,464806,42255,49,23,1083976,47129,93,"0"
"64",1352,"F","55技~59技","049",19,366458,19287,58,53,1084643,20465,119,113,2214859,19601,219,"0"
"65",10891,"F","55技~59技","049",18,272843,15158,45,48,695723,14494,85,107,1793833,16765,168,"0"
"66",1351,"F","55技~59技","049",23,1184716,51509,88,67,2724659,40667,159,141,5550357,39364,300,"0"
"67",11855,"F","60技捞惑","049",24,491747,20489,56,51,892345,17497,89,81,1576608,19464,140,"0"
"68",512,"F","60技捞惑","055",16,297051,18566,39,47,752841,16018,77,94,1627064,17309,167,"0"
"69",10911,"F","55技~59技","049",11,331195,30109,42,33,925055,28032,75,77,2099418,27265,153,"0"
"70",10839,"M","40技~44技","049",27,891160,33006,89,85,2377795,27974,189,155,4174489,26932,299,"0"
"71",67,"F","60技捞惑","049",15,358955,23930,50,48,1164348,24257,99,96,2383406,24827,178,"0"
"72",12770,"F","45技~49技","049",12,414951,34579,55,47,1699749,36165,134,98,3155339,32197,230,"0"
"73",2157,"F","50技~54技","016",17,673589,39623,54,47,1304082,27746,93,104,2945287,28320,186,"0"
"74",3849,"F","45技~49技","055",10,424545,42454,63,47,1786208,38004,137,104,3626139,34867,257,"0"
"75",4275,"F","45技~49技","055",19,879180,46273,84,50,2410669,48213,142,97,4858910,50092,262,"0"
"76",12483,"F","40技~44技","055",27,906999,33593,68,74,2251509,30426,152,148,4994184,33744,269,"0"
"77",14486,"F","45技~49技","055",9,476412,52935,67,30,1460486,48683,141,59,2601463,44093,229,"0"
"78",11849,"F","20技~24技","016",22,519530,23615,71,63,1331621,21137,136,126,2458448,19511,226,"0"
"79",4690,"F","45技~49技","016",1,61661,61661,5,4,193211,48303,21,9,439164,48796,61,"0"
"80",12071,"F","50技~54技","016",1,114712,114712,18,6,451762,75294,42,16,1150010,71876,94,"0"
"81",11793,"F","50技~54技","016",NA,NA,NA,NA,42,906293,21578,60,156,3629200,23264,195,"0"
"82",7271,"F","40技~44技","016",1,169350,169350,20,5,474440,94888,48,21,1178104,56100,102,"0"
"83",4012,"F","45技~49技","016",25,1153357,46134,58,81,2394836,29566,115,155,4671039,30136,225,"0"
"84",3148,"F","50技~54技","016",21,592385,28209,57,65,1592893,24506,117,149,4196481,28164,235,"0"
"85",6419,"F","40技~44技","016",14,422118,30151,28,53,1313518,24783,83,122,2771507,22717,166,"0"
"86",6674,"F","40技~44技","020",18,637067,35393,50,56,1552952,27731,120,115,2415565,21005,202,"0"
"87",6820,"M","40技~44技","016",7,522947,74707,58,8,596731,74591,69,18,1235959,68664,139,"0"
"88",17248,"F","50技~54技","013",31,724052,23357,63,90,2138182,23758,136,159,3667974,23069,250,"0"
"89",11112,"F","60技捞惑","016",17,135444,7967,28,48,478907,9977,59,106,1125934,10622,125,"0"
"90",2702,"M","50技~54技","016",2,51040,25520,11,6,212590,35432,27,16,571948,35747,78,"0"
"91",7437,"F","40技~44技","016",45,1166545,25923,56,117,2573285,21994,120,202,5005160,24778,247,"0"
"92",5390,"F","45技~49技","016",17,767230,45131,66,47,2410178,51280,135,98,4681563,47771,254,"0"
"93",7675,"F","40技~44技","016",5,74700,14940,5,20,428498,21425,53,30,732208,24407,85,"0"
"94",9822,"F","30技~34技","016",32,274286,8571,44,88,958378,10891,91,122,1214118,9952,119,"0"
"95",15582,"F","60技捞惑","016",15,201370,13425,25,61,912511,14959,75,139,1888823,13589,147,"0"
"96",3211,"F","50技~54技","016",22,906357,41198,78,49,2217670,45259,134,97,4097739,42245,228,"0"
"97",6532,"F","40技~44技","016",20,720594,36030,73,51,1592370,31223,126,102,3203728,31409,235,"0"
"98",9006,"F","35技~39技","024",17,707300,41606,90,48,1842818,38392,170,94,3251505,34590,293,"0"
"99",4214,"F","45技~49技","087",8,206300,25788,14,50,1251600,25032,36,96,2050410,21358,55,"0"
"100",18707,"F","50技~54技","075",7,262242,37463,26,31,2531295,81655,99,67,3677484,54888,156,"0"
"101",18368,"F","25技~29技","075",25,302420,12097,25,78,542730,6958,47,193,1476280,7649,102,"0"
"102",6140,"F","40技~44技","075",20,454158,22708,61,66,1171851,17755,130,119,2207536,18551,204,"0"
"103",18742,"F","45技~49技","075",20,583194,29160,53,62,1864278,30069,130,132,3678092,27864,227,"0"
"104",17255,"F","60技捞惑","055",16,301863,18866,18,24,536973,22374,27,24,536973,22374,27,"0"
"105",16809,"F","25技~29技","043",1,12900,12900,1,2,65700,32850,2,112,2980322,26610,88,"0"
"106",1914,"F","50技~54技","024",12,222878,18573,28,50,699698,13994,77,95,1548224,16297,162,"0"
"107",17472,"F","50技~54技","036",11,315644,28695,29,41,934445,22791,78,85,1753759,20632,152,"0"
"108",12953,"F","30技~34技","075",19,395960,20840,39,47,936783,19932,81,108,2640335,24448,172,"0"
"109",4885,"M","45技~49技","075",10,620192,62019,18,36,2249309,62481,49,81,7515783,92787,96,"0"
"110",3210,"F","50技~54技","039",6,358438,59740,40,18,1211364,67298,101,36,2777657,77157,194,"0"
"111",6992,"F","40技~44技","055",6,185196,30866,34,25,702410,28096,82,50,1287154,25743,148,"0"
"112",769,"F","60技捞惑","055",26,718802,27646,65,72,1834050,25473,115,123,2983110,24253,197,"0"
"113",4162,"F","45技~49技","055",16,100460,6279,4,50,389130,7783,13,113,960240,8498,39,"0"
"114",4217,"M","45技~49技","055",17,1128367,66375,81,41,2170787,52946,129,106,6426714,60629,270,"0"
"115",14521,"F","55技~59技","055",22,447811,20355,40,61,2255977,36983,92,130,3847134,29593,170,"0"
"116",17848,"F","45技~49技","055",27,1024127,37931,75,59,2154318,36514,156,121,4382639,36220,261,"0"
"117",1765,"F","55技~59技","055",23,670144,29137,78,71,2345923,33041,162,122,4108157,33673,273,"0"
"118",14877,"M","40技~44技","055",23,346832,15080,48,70,1467990,20971,123,146,2777281,19022,202,"0"
"119",10523,"F","35技~39技","072",1,13700,13700,1,7,174780,24969,12,22,618516,28114,38,"0"
"120",16478,"F","50技~54技","055",16,598727,37420,36,49,2013774,41097,90,79,3372863,42694,152,"0"
"121",541,"F","60技捞惑","055",16,309619,19351,46,56,1808951,32303,120,108,3275638,30330,221,"0"
"122",3451,"F","50技~54技","055",25,861300,34452,85,76,2325706,30601,156,146,5177851,35465,285,"0"
"123",13573,"F","35技~39技","055",12,276431,23036,44,36,930586,25850,94,77,1944498,25253,157,"0"
"124",16814,"F","30技~34技","055",18,203730,11318,24,64,1325479,20711,86,126,3073801,24395,174,"0"
"125",18170,"F","55技~59技","016",51,1650653,32366,29,126,3575729,28379,83,274,7009813,25583,150,"0"
"126",458,"F","60技捞惑","055",24,692809,28867,48,61,1630109,26723,93,105,2613092,24887,149,"0"
"127",4756,"F","45技~49技","055",NA,NA,NA,NA,3,13600,4533,3,27,352093,13040,35,"0"
"128",17570,"F","55技~59技","055",26,681329,26205,56,54,1429110,26465,100,134,3321919,24790,175,"0"
"129",9028,"F","35技~39技","055",14,533015,38072,48,35,1334980,38142,95,71,2849328,40131,164,"0"
"130",194,"F","60技捞惑","055",12,273639,22803,48,52,1236658,23782,115,118,2884611,24446,227,"0"
"131",2781,"F","50技~54技","055",3,56290,18763,9,4,69890,17472,12,6,102590,17098,14,"1"
"132",4880,"F","45技~49技","055",5,330860,66172,7,9,608740,67638,11,22,1116460,50748,35,"0"
"133",7272,"F","40技~44技","055",19,651146,34271,64,55,1973471,35881,126,112,4160937,37151,229,"0"
"134",3811,"M","45技~49技","055",21,1173200,55867,97,53,3143338,59308,161,109,6390514,58629,280,"0"
"135",943,"F","55技~59技","055",35,1411995,40343,70,105,4450242,42383,178,208,8842599,42512,315,"0"
"136",889,"F","55技~59技","055",19,336420,17706,41,35,573580,16388,55,98,1600451,16331,144,"0"
"137",10777,"F","35技~39技","055",7,201558,28794,16,19,652948,34366,54,51,2226233,43652,117,"0"
"138",11417,"F","35技~39技","055",17,358651,21097,38,54,1536260,28449,91,108,3072375,28448,148,"0"
"139",14331,"F","45技~49技","055",17,693466,40792,32,48,1413417,29446,72,87,1997691,22962,127,"0"
"140",802,"F","55技~59技","055",16,323847,20240,35,61,1293660,21208,93,116,2730162,23536,170,"0"
"141",16812,"F","50技~54技","055",22,751673,34167,86,73,2574137,35262,164,152,5618233,36962,304,"0"
"142",11462,"F","50技~54技","055",17,335100,19712,37,69,1411422,20455,100,140,2543658,18169,200,"0"
"143",9933,"M","60技捞惑","055",35,209150,5976,31,61,452305,7415,52,99,684135,6910,72,"0"
"144",1193,"F","55技~59技","049",2,92570,46285,13,8,489031,61129,35,20,905393,45270,73,"0"
"145",887,"F","55技~59技","055",2,29150,14575,3,31,470896,15190,22,76,1244978,16381,68,"0"
"146",5961,"F","40技~44技","055",19,392806,20674,54,71,1671649,23544,128,130,3495464,26888,226,"0"
"147",10519,"F","45技~49技","055",21,257160,12246,29,61,888491,14565,74,120,2036467,16971,157,"0"
"148",4719,"F","45技~49技","055",15,204550,13637,15,58,917850,15825,41,101,1238160,12259,52,"0"
"149",396,"F","60技捞惑","055",22,492222,22374,36,62,1237808,19965,102,98,1933148,19726,150,"0"
"150",2411,"F","50技~54技","055",1,16000,16000,1,8,884449,110556,30,13,1492413,114801,47,"0"
"151",1835,"F","55技~59技","055",7,176750,25250,18,30,804721,26824,41,63,1613773,25615,84,"0"
"152",3016,"F","50技~54技","055",15,667070,44471,66,47,1676390,35668,138,91,3157372,34696,234,"0"
"153",8500,"F","35技~39技","049",13,657970,50613,13,47,1157000,24617,43,98,1992066,20327,97,"0"
"154",1597,"F","55技~59技","055",13,493310,37947,33,55,1570599,28556,109,109,2558588,23473,189,"0"
"155",5308,"F","45技~49技","055",18,447738,24874,60,55,1876486,34118,136,82,2539783,30973,201,"0"
"156",8725,"F","35技~39技","036",1,11050,11050,3,8,82980,10372,10,32,874781,27337,45,"1"
"157",18576,"M","25技~29技","055",31,571662,18441,46,108,1542546,14283,85,217,2367941,10912,141,"0"
"158",3185,"F","50技~54技","052",28,865444,30909,26,62,1839050,29662,77,71,2026964,28549,97,"0"
"159",15631,"F","30技~34技","055",22,131530,5979,26,49,288280,5883,38,71,457890,6449,55,"0"
"160",3997,"F","45技~49技","055",29,646360,22288,38,90,1799524,19995,86,154,2931817,19038,159,"0"
"161",9190,"F","35技~39技","055",24,355510,14813,32,45,720464,16010,65,93,2022643,21749,115,"0"
"162",16348,"F","40技~44技","055",17,959779,56458,61,62,2525622,40736,142,107,4937419,46144,255,"0"
"163",17073,"F","45技~49技","045",18,225820,12546,23,49,932547,19032,65,109,1842446,16903,123,"0"
"164",418,"F","60技捞惑","039",29,1244487,42913,42,82,3222099,39294,125,135,5953875,44103,212,"0"
"165",742,"F","60技捞惑","039",3,139130,46377,17,11,327630,29785,29,25,552100,22084,55,"0"
"166",14355,"F","40技~44技","043",26,169658,6525,33,68,588290,8651,75,130,1189590,9151,129,"0"
"167",11874,"F","35技~39技","045",22,441378,20063,32,64,1186742,18543,59,138,2568849,18615,130,"0"
"168",1736,"F","55技~59技","039",18,855531,47530,85,59,2467074,41815,161,136,5129589,37718,298,"0"
"169",10086,"F","55技~59技","045",16,884685,55293,93,45,1756904,39042,132,94,3140490,33409,226,"0"
"170",638,"F","60技捞惑","045",4,130543,32636,21,5,165823,33165,24,15,818253,54550,79,"0"
"171",8241,"F","35技~39技","036",24,750471,31270,61,68,2002045,29442,104,121,3237172,26753,178,"0"
"172",18472,"F","25技~29技","082",15,150692,10046,17,30,583982,19466,30,91,3371762,37052,76,"0"
"173",13704,"F","60技捞惑","039",17,313272,18428,28,64,1458504,22789,79,122,2820041,23115,145,"0"
"174",7515,"F","40技~44技","043",28,514073,18360,71,70,1171522,16736,116,119,1839698,15460,180,"0"
"175",14876,"F","50技~54技","043",12,468740,39062,59,40,1331658,33291,117,100,2998215,29982,232,"0"
"176",18398,"M","45技~49技","045",13,169750,13058,21,50,631890,12638,44,89,1272830,14301,82,"0"
"177",18443,"M","45技~49技","045",16,469747,29359,52,58,1620151,27934,139,106,3082844,29083,225,"0"
"178",11220,"F","55技~59技","052",17,550990,32411,36,46,1527377,33204,69,65,1829207,28142,100,"0"
"179",988,"M","55技~59技","033",23,602410,26192,49,70,1744472,24921,118,136,3370303,24782,199,"0"
"180",10862,"M","35技~39技","043",17,647760,38104,30,46,1573900,34215,60,91,3144476,34555,124,"0"
"181",10562,"F","40技~44技","047",24,635764,26490,74,79,1963771,24858,153,158,4550356,28800,283,"0"
"182",17720,"M","45技~49技","047",21,260014,12382,43,53,785186,14815,82,106,1562496,14741,137,"0"
"183",2784,"F","50技~54技","055",23,679603,29548,69,60,1953939,32566,132,100,3201313,32013,209,"0"
"184",11460,"F","30技~34技","055",5,329152,65830,36,10,691252,69125,59,24,1140956,47540,89,"0"
"185",3911,"F","45技~49技","039",9,171004,19000,30,42,908895,21640,83,88,2058347,23390,179,"0"
"186",17433,"M","50技~54技","075",8,156800,19600,20,28,626169,22363,51,44,1389293,31575,90,"0"
"187",15426,"F","30技~34技","043",25,277430,11097,34,66,680330,10308,82,116,1137290,9804,127,"0"
"188",215,"F","60技捞惑","082",12,203743,16979,34,57,1045098,18335,104,132,2366859,17931,206,"0"
"189",19023,"F","55技~59技","010",7,356318,50903,36,27,1880435,69646,128,28,1883415,67265,129,"0"
"190",16647,"M","40技~44技","039",14,113562,8112,19,51,506846,9938,43,135,1289338,9551,93,"0"
"191",5286,"F","45技~49技","049",20,678092,33905,81,51,1619174,31749,128,104,3710587,35679,275,"0"
"192",10064,"F","45技~49技","055",3,85570,28523,10,13,387290,29792,36,25,642093,25684,71,"0"
"193",4097,"M","45技~49技","055",4,105650,26412,12,8,134650,16831,17,15,287054,19137,28,"0"
"194",102,"F","60技捞惑","055",9,363669,40408,23,23,1042471,45325,78,49,2450751,50015,142,"0"
"195",5530,"F","45技~49技","055",5,161250,32250,18,14,730630,52188,50,22,1176995,53500,86,"0"
"196",14463,"F","35技~39技","055",30,1127091,37570,55,64,2204031,34438,81,122,4171062,34189,136,"0"
"197",18424,"F","40技~44技","055",21,189622,9030,22,54,480450,8897,46,106,1065400,10051,94,"0"
"198",14010,"F","50技~54技","036",10,677051,67705,18,49,2861007,58388,110,80,4403692,55046,175,"0"
"199",11763,"M","40技~44技","039",1,202175,202175,25,11,12181237,1107385,42,70,252769085,3610987,82,"0"
"200",891,"M","55技~59技","030",14,1061292,75807,108,46,3592747,78103,188,97,7489071,77207,329,"0"
"201",3772,"F","45技~49技","039",NA,NA,NA,NA,10,769830,76983,20,17,1087351,63962,51,"1"
"202",16125,"F","50技~54技","033",11,124092,11281,24,60,751642,12527,67,104,1374461,13216,125,"0"
"203",3913,"F","45技~49技","039",21,478720,22796,69,57,1236044,21685,122,110,2421892,22017,200,"0"
"204",9405,"F","30技~34技","087",5,217510,43502,10,17,1302020,76589,52,44,3180803,72291,133,"0"
"205",11731,"F","40技~44技","043",4,163000,40750,4,20,476280,23814,31,36,1064340,29565,70,"0"
"206",5463,"M","45技~49技","075",13,549800,42292,21,51,1822186,35729,59,109,3235326,29682,123,"0"
"207",16652,"F","40技~44技","079",21,697310,33205,42,65,1981254,30481,84,110,3345837,30417,135,"0"
"208",5514,"F","45技~49技","075",22,392938,17861,37,71,1188092,16734,90,139,2568218,18476,167,"0"
"209",18522,"F","55技~59技","075",18,342068,19004,37,53,1324062,24982,89,106,2565696,24205,169,"0"
"210",18709,"M","40技~44技","075",15,151140,10076,26,43,491909,11440,68,91,2298410,25257,133,"0"
"211",1946,"M","50技~54技","075",3,262337,87446,48,16,1034213,64638,125,34,2347756,69052,248,"0"
"212",8020,"F","35技~39技","079",1,92960,92960,7,4,247394,61848,21,8,528332,66042,60,"0"
"213",4752,"F","45技~49技","055",15,509813,33988,53,45,1106127,24581,115,80,2095804,26198,205,"0"
"214",1732,"F","55技~59技","055",13,258292,19869,38,30,680502,22683,62,76,2725482,35862,150,"0"
"215",391,"F","60技捞惑","055",NA,NA,NA,NA,2,85770,42885,10,44,1792901,40748,93,"0"
"216",2205,"M","50技~54技","060",NA,NA,NA,NA,NA,NA,NA,NA,1,110850,110850,7,"1"
"217",17185,"M","35技~39技","039",28,1938934,69248,106,64,4896843,76513,160,114,9522216,83528,256,"0"
"218",10725,"F","55技~59技","016",14,260699,18621,35,35,719393,20554,78,69,1560925,22622,142,"0"
"219",2585,"F","50技~54技","016",17,407620,23978,28,43,883338,20543,70,98,1978611,20190,161,"0"
"220",6574,"F","40技~44技","016",15,934324,62288,96,49,2652095,54124,192,99,4698956,47464,300,"0"
"221",5945,"F","40技~44技","016",17,561928,33055,56,50,1759232,35185,132,91,3381988,37165,230,"0"
"222",1440,"F","55技~59技","055",13,634302,48792,76,43,1843891,42881,147,90,3930092,43668,282,"0"
"223",348,"M","60技捞惑","055",2,77030,38515,6,7,269008,38430,14,20,943872,47194,36,"0"
"224",7960,"M","35技~39技","047",3,102420,34140,15,5,264320,52864,17,10,576420,57642,24,"0"
"225",9462,"F","30技~34技","047",12,342648,28554,50,41,1049403,25595,120,97,2808996,28959,245,"0"
"226",5534,"F","45技~49技","047",16,209203,13075,43,49,879670,17952,100,100,1803822,18038,187,"0"
"227",18538,"F","55技~59技","030",9,160396,17822,18,52,969630,18647,76,110,1713245,15575,128,"0"
"228",5748,"F","45技~49技","047",20,345786,17289,52,55,1411987,25672,139,105,2692525,25643,245,"0"
"229",3276,"F","50技~54技","016",19,329210,17327,43,70,1234748,17639,99,133,2564119,19279,172,"0"
"230",13130,"F","35技~39技","016",44,1147655,26083,84,120,2562956,21358,132,243,4571298,18812,240,"0"
"231",10788,"F","45技~49技","016",12,536300,44692,73,47,1471500,31309,138,143,3708143,25931,282,"0"
"232",6232,"F","40技~44技","016",29,693715,23921,93,89,2113329,23745,176,170,4060211,23884,298,"0"
"233",5494,"F","45技~49技","016",12,257805,21484,41,40,1013444,25336,100,83,2312061,27856,189,"0"
"234",11487,"F","55技~59技","085",21,396383,18875,47,62,1095440,17668,90,121,1812050,14976,167,"0"
"235",19158,"M","25技~29技","024",22,63280,2876,9,68,191610,2818,16,140,526010,3757,38,"0"
"236",10616,"F","30技~34技","024",12,120136,10011,22,44,482405,10964,69,92,1005345,10928,129,"0"
"237",17377,"F","50技~54技","079",16,272260,17016,32,54,1246818,23089,68,162,3742759,23103,162,"0"
"238",17457,"F","45技~49技","024",NA,NA,NA,NA,NA,NA,NA,NA,3,39480,13160,7,"1"
"239",8209,"F","35技~39技","024",6,714337,119056,58,17,1341247,78897,105,36,2671713,74214,181,"0"
"240",7983,"F","35技~39技","024",20,571315,28566,90,42,1263539,30084,149,93,2676289,28777,256,"0"
"241",3456,"F","50技~54技","024",15,502415,33494,67,43,1425460,33150,131,101,3508313,34736,275,"0"
"242",4563,"M","45技~49技","024",4,266616,66654,28,13,765790,58907,70,29,1951417,67290,137,"0"
"243",6501,"M","40技~44技","024",3,330050,110017,23,9,687430,76381,45,16,1289046,80565,95,"0"
"244",7172,"F","40技~44技","055",16,542796,33925,47,54,1427200,26430,114,116,3863095,33303,243,"0"
"245",8205,"M","35技~39技","060",19,789008,41527,57,67,2407582,35934,148,133,4683361,35213,277,"0"
"246",446,"F","60技捞惑","055",14,575027,41073,72,44,1505390,34213,124,92,3094910,33640,226,"0"
"247",2524,"F","50技~54技","055",23,798328,34710,97,79,2374031,30051,190,170,5060080,29765,334,"0"
"248",18226,"F","55技~59技","055",10,423554,42355,27,41,1588097,38734,64,90,4106591,45629,122,"0"
"249",17819,"F","45技~49技","055",10,298924,29892,22,61,1799438,29499,93,128,4341068,33915,182,"0"
"250",14945,"F","45技~49技","055",14,353043,25217,43,61,1607516,26353,104,131,3087722,23570,182,"0"
"251",10897,"M","40技~44技","055",13,171754,13212,24,54,858690,15902,106,134,1920622,14333,202,"0"
"252",4775,"F","45技~49技","055",21,1377118,65577,106,44,2705695,61493,168,97,6092145,62806,316,"0"
"253",17738,"F","45技~49技","055",19,581836,30623,82,53,1841135,34738,164,114,3771982,33088,282,"0"
"254",7614,"F","40技~44技","055",29,348705,12024,51,66,947631,14358,81,140,2128091,15201,131,"0"
"255",1186,"F","55技~59技","055",34,1284614,37783,76,73,2787026,38178,147,127,4453458,35067,233,"0"
"256",7604,"F","40技~44技","060",31,642958,20741,88,67,1418260,21168,148,106,2543452,23995,224,"0"
"257",4840,"M","45技~49技","055",14,343394,24528,64,37,968362,26172,104,89,2371255,26643,199,"0"
"258",7424,"F","40技~44技","055",19,279110,14690,27,64,933574,14587,83,107,1696656,15857,154,"0"
"259",17820,"F","50技~54技","055",22,586561,26662,42,63,1349192,21416,87,142,2719652,19152,170,"0"
"260",9640,"F","30技~34技","055",33,542257,16432,73,103,1439755,13978,147,247,3231392,13083,288,"0"
"261",19182,"M","20技~24技","060",30,391382,13046,46,74,1137860,15376,92,107,1501325,14031,140,"0"
"262",14896,"F","45技~49技","055",21,402770,19180,41,66,1138321,17247,83,123,2330914,18951,153,"0"
