"","subsidary","category1","n_shop","n_item","n_customer","n_trx","amt","quantileAmt","products"
"72","B",63,79,24,2041,7665,75220864,"4000-6400-10000-16774","반찬,전통간식,먹거리,먹거리행사,시즌행사,맛집행사,즉석구이안주,즉석구이김,특산물행사"
"73","B",64,55,17,862,1733,15933857,"6000-8800-10000-13800","블루베리,체리,수입포도,냉동과일"
"74","B",65,76,16,1866,6717,32801699,"3500-3980-4900-7900","열대과일기타,바나나,파인애플,망고,키위,열대과일선물세트"
"75","B",66,66,34,1670,3902,46130170,"4600-8900-14700-24180","남성용품,개인위생용품,바디케어,훼이셜케어,베이비케어,풋/핸드케어,미용소품,아로마"
"76","B",67,78,18,2097,8732,54322183,"2900-4500-7000-11500","피자,간식,디저트,베이커리"
"77","B",68,56,39,935,1653,15707910,"5000-7890-10790-17472","남성양말,여성양말,아동양말,덧신,주니어양말,양말선물세트,온라인양말,언더웨어행사"
"78","B",69,30,14,191,230,3885050,"7900-11990-19000-39000","시즌슈즈,스포츠슈즈,아동슈즈,캐주얼슈즈,슈즈용품"
"79","B",70,32,22,270,361,5089640,"7000-10000-19000-25000","지갑/벨트,가방,TRAVEL,모자,우산/양산,시즌잡화,장갑"
"80","B",71,33,8,322,496,23752500,"17990-28000-60700-106000","브랜드,등산,캠핑"
"81","B",72,56,16,1279,3327,47510698,"6900-9900-16895-25800","잡곡,선식,온라인잡곡선식"
"82","B",73,59,9,1649,5785,31790230,"2980-4700-6980-9900","포장반찬HMR,냉동HMR,냉장간편식HMR,냉장식사HMR"
"83","B",74,90,18,2706,19715,91752900,"2400-3450-5110-7600","라면,면류,간편요리,밥죽류,브랜드빵,시리얼"
"84","B",75,47,16,478,1060,36946060,"9990-25000-46000-86457","비타민,기능성건강,홍인삼,담배,건강선물세트"
"85","B",76,45,11,765,1319,17102214,"5500-8000-15956-26680","수입연어,수입고등어,수입갈치,수입게,수입기타생선"
"86","B",77,40,13,776,1404,15484178,"6900-10000-14002-16990","냉동규격생선,냉동규격해물,규격생선선물세트,냉장규격생선,온라인규격/간편조리생선,규격RTC,간편조리행사"
"87","B",78,42,11,636,993,13200590,"8000-9800-13990-25600","굴비,반건생선,굴비/반건생선선물세트"
"88","B",79,65,39,1759,7081,46549086,"3008-5151-8500-12000","해초,조개,조개살,연체,새우,해물선물세트,온라인해물연체"
"89","B",80,50,12,1129,2272,18733580,"4100-6900-9900-15800","특산물행사,멸치,천연조미료,황태,미역/다시마,멸치황태미역선물세트"
"90","B",81,65,9,1446,3604,18235300,"3680-4500-5800-7800","즉석구이김,마른김,조미김,김가공품,김선물세트"
"91","B",82,51,16,1154,3353,61261048,"8520-12580-20492-34078","미국산소고기,호주산소고기,수입육선물세트,수입돼지고기,기타국소고기"
"92","B",83,43,9,748,1631,18839089,"8000-8800-12150-17600","양념육,육가공품"
"93","B",84,47,27,960,1581,22307010,"4610-8290-16490-33000","그릇/수저,유아식기,조리용기,조리도구"
"94","B",85,14,6,39,40,2205000,"39800-49000-58350-95000","주방가전,시즌/건강가전"
"95","B",86,41,17,647,915,10925710,"4500-8400-14300-20400","패브릭욕실용품,매트,프리미엄매트,일반욕실용품,DIY욕실용품,수도용품"
"96","B",87,64,24,1433,2652,28469830,"4600-7700-13285-20990","조명기구,전구,전기용품,안전용품,보수용품,공구,건전지"
"97","B",88,33,9,271,388,21186270,"24900-39900-69900-102810","브랜드침구,성인침구,아동침구"
"98","B",89,76,6,1951,7607,41428720,"3980-4950-6300-7500","계란,가공란"
"99","B",90,63,10,1555,5469,109178090,"5280-11000-24000-44020","기초화장품,색조화장품,드럭스토어,온라인화장품"
"100","B",91,72,16,2090,11246,32585548,"1600-2136-3400-5622","양념채소,뿌리채소,온라인양념/뿌리채소"
"101","B",92,69,16,1775,6371,47523906,"4900-6900-9000-12000","사과,배,국산과일선물세트,온라인저장과일,구색과일,밤"
"102","C",1,329,54,3027,90202,645592608,"3490-5990-8990-12000","국산과일,수입과일,냉동과일,건과일,견과류"
"103","C",2,206,13,1726,12804,298612620,"9900-11900-32900-43900","양곡,잡곡,선식류"
"104","C",3,310,77,3118,239477,662570420,"1280-1990-3390-5200","엽채류,과채류,근채류,두채류,김치채소류,버섯류,양채류,나물류,계란류"
"105","C",4,256,93,2245,42368,308844222,"3500-5000-8000-12500","선어류,선어가공,건어류,건어가공,해물류,기타수산"
"106","C",5,257,65,2119,48811,648896218,"5980-8990-14069-24000","국내산우육,국내산돈육,국내산계육,수입우육,수입돈육,기타축산"
"107","C",6,248,31,2123,37477,154903350,"1800-2790-4600-9900","반찬류,간편간식,식사류,베이커리,기타조리식품"
"108","C",7,315,12,3005,123135,425073426,"1980-2990-4300-5860","우유,발효유,치즈버터,냉장음료"
"109","C",8,254,12,2250,42932,168665224,"1790-2990-4980-7160","냉장농산,냉장수산,냉장축산"
"110","C",9,270,9,2108,35148,132219010,"1170-2400-5000-7980","아이스크림,만두"
"111","C",10,227,26,1914,21456,112845945,"2750-4280-6600-8990","냉장간식MS,냉장식사MS,냉장기타MS,냉동MS"
"112","C",11,329,24,2909,82280,243109600,"990-1500-2670-5700","생수,탄산음료,과채음료,커피음료,차음료,기능성음료,두유"
"113","C",12,273,19,1983,76504,285014688,"1020-2090-4250-8500","소주,맥주,와인,양주,전통주,기타음주류"
"114","C",13,294,62,2517,52667,359415540,"2400-3900-6300-11300","병통조림,커피류,담배,분유,차류,건강식품,즉석식품,가공건식품"
"115","C",14,264,48,2300,37437,185319120,"2190-3480-5500-8990","장류,식용유,조미료,케첩마요네즈,감미료,가공분말류"
"116","C",15,333,41,3210,146822,753511555,"1250-2240-3590-5190","라면,건면,쿠키케이크,스낵,캔디껌류,초콜렛,전통과자,씨리얼"
"117","C",16,304,94,2619,55497,762333340,"2990-5380-9900-14900","세탁세제,화장지,주방주거세제,유아용품,화장품,두발용품,생리용품,구강용품,위생용품"
"118","C",17,330,232,3188,75750,218558230,"350-990-3000-6900","주방용품,청소욕실용품,전기전자,의류잡화,레저취미,문화용품,가정잡화"
"119","D",1,29,21,406,2719,51199649,"6000-14000-25200-39000","베이직케어,선케어,클렌징,집중케어,남성케어,베이비케어"
"120","D",2,28,29,501,3528,34212625,"3500-6400-11110-18560","헤어케어,바디케어,핸드/풋케어,구강케어,여성용품"
"121","D",3,27,15,226,1022,10738240,"2000-4300-12600-29400","피트니스,건강기능식품,일반의약외품"
"122","D",4,29,31,492,7863,22262830,"1100-1980-3500-5900","과자,음료"
"123","D",5,29,9,175,651,5542400,"1200-3300-9950-24500","화장지/티슈,방향/제습/탈취제,기기"
"124","D",6,28,18,330,1332,8097650,"1800-2800-6050-12680","미용소품,양말류,우산/양산류,파티/팬시용품,전기용품,안전용품,여행용품,계절팩"
"125","D",7,22,2,63,110,6058000,"33675-49900-73550-99000","여성,남성"
"126","D",8,27,11,298,1425,27332600,"10000-15000-25000-39000","베이스메이크업,아이메이크업,립메이크업,네일메이크업"
